koreanName,englishName,emoji,filename,category,tagline
웹툰 작가,Webtoon Artist,✏️,웹툰 작가_Webtoon Artist.png,arts,이야기를 그림으로 이어 가는 작가
애니메이션 작가,Animation Writer,🎞️,애니메이션 작가_Animation Writer.png,arts,그림에 움직임과 생명을 주는 창작자
애니메이터,Animator,🎨,애니메이터_Animator.png,arts,상상과 감정을 작품으로 보여주는 표현가
일러스트레이터,Illustrator,🖌️,일러스트레이터_Illustrator.png,arts,한 장의 그림으로 분위기를 전하는 작가
사진작가,Photographer,📷,사진작가_Photographer.png,arts,순간을 이미지로 기록하는 관찰자
영화감독,Film Director,🎬,영화감독_Film Director.png,arts,영상 이야기를 이끄는 연출가
방송 PD,TV Producer,🎬,방송 PD_TV Producer.png,arts,영상 이야기를 이끄는 연출가
방송 진행자,TV Host,🎤,방송 진행자_TV Host.png,arts,말과 에너지로 사람을 연결하는 진행자
작가,Writer,📝,작가_Writer.png,arts,글로 마음과 세계를 만드는 사람
동화작가,Childrens Book Author,📝,동화작가_Childrens Book Author.png,arts,글로 마음과 세계를 만드는 사람
시인,Poet,📝,시인_Poet.png,arts,글로 마음과 세계를 만드는 사람
뮤지컬 배우,Musical Actor,🎨,뮤지컬 배우_Musical Actor.png,arts,상상과 감정을 작품으로 보여주는 표현가
음악 프로듀서,Music Producer,🎵,음악 프로듀서_Music Producer.png,arts,소리로 감정을 설계하는 창작자
음악가,Musician,🎵,음악가_Musician.png,arts,소리로 감정을 설계하는 창작자
게임 스토리 작가,Game Story Writer,📝,게임 스토리 작가_Game Story Writer.png,arts,글로 마음과 세계를 만드는 사람
캐릭터 디자이너,Character Designer,🐣,캐릭터 디자이너_Character Designer.png,arts,사랑받는 인물을 만드는 디자이너
캐릭터 기획자,Character Planner,🐣,캐릭터 기획자_Character Planner.png,arts,사랑받는 인물을 만드는 디자이너
패션 디자이너,Fashion Designer,👗,패션 디자이너_Fashion Designer.png,arts,스타일로 개성을 표현하는 디자이너
패션 스타일리스트,Fashion Stylist,👗,패션 스타일리스트_Fashion Stylist.png,arts,스타일로 개성을 표현하는 디자이너
인테리어 디자이너,Interior Designer,🛋️,인테리어 디자이너_Interior Designer.png,arts,공간의 분위기를 설계하는 디자이너
아트 디렉터,Art Director,🎨,아트 디렉터_Art Director.png,arts,상상과 감정을 작품으로 보여주는 표현가
영상 편집자,Video Editor,🎧,영상 편집자_Video Editor.png,arts,장면을 엮어 몰입감을 만드는 편집자
무대 디자이너,Stage Designer,🎭,무대 디자이너_Stage Designer.png,arts,공연의 순간을 완성하는 현장 전문가
큐레이터,Curator,🎨,큐레이터_Curator.png,arts,상상과 감정을 작품으로 보여주는 표현가
공연 연출가,Performance Director,🎭,공연 연출가_Performance Director.png,arts,공연의 순간을 완성하는 현장 전문가
콘텐츠 프로듀서,Content Producer,🎨,콘텐츠 프로듀서_Content Producer.png,arts,상상과 감정을 작품으로 보여주는 표현가
콘텐츠 진행자,Content Host,🎤,콘텐츠 진행자_Content Host.png,arts,말과 에너지로 사람을 연결하는 진행자
문화콘텐츠 기획자,Cultural Content Planner,🎨,문화콘텐츠 기획자_Cultural Content Planner.png,arts,상상과 감정을 작품으로 보여주는 표현가
이벤트 플래너,Event Planner,🎉,이벤트 플래너_Event Planner.png,arts,사람들이 기억할 순간을 기획하는 플래너
창업가,Entrepreneur,🚀,창업가_Entrepreneur.png,business,새로운 일을 시작하고 이끄는 도전자
CEO,CEO,🚀,CEO_CEO.png,business,새로운 일을 시작하고 이끄는 도전자
제품 관리자,Product Manager,📌,제품 관리자_Product Manager.png,business,목표를 끝까지 완성하게 돕는 관리자
프로젝트 매니저,Project Manager,📌,프로젝트 매니저_Project Manager.png,business,목표를 끝까지 완성하게 돕는 관리자
전략 컨설턴트,Strategy Consultant,🧭,전략 컨설턴트_Strategy Consultant.png,business,앞으로의 방향을 읽는 분석가
광고기획자,Advertising Planner,📢,광고기획자_Advertising Planner.png,business,사람의 마음에 남는 메시지를 만드는 기획자
광고 크리에이터,Advertising Creative,📢,광고 크리에이터_Advertising Creative.png,business,사람의 마음에 남는 메시지를 만드는 기획자
브랜드 기획자,Brand Planner,📢,브랜드 기획자_Brand Planner.png,business,사람의 마음에 남는 메시지를 만드는 기획자
브랜드 매니저,Brand Manager,📢,브랜드 매니저_Brand Manager.png,business,사람의 마음에 남는 메시지를 만드는 기획자
마케터,Marketer,📣,마케터_Marketer.png,business,아이디어를 사람들과 함께 실현하는 기획가
투자분석가,Investment Analyst,💰,투자분석가_Investment Analyst.png,business,돈의 흐름을 정확하게 읽는 전문가
회계사,Accountant,💰,회계사_Accountant.png,business,돈의 흐름을 정확하게 읽는 전문가
세무사,Tax Accountant,💰,세무사_Tax Accountant.png,business,돈의 흐름을 정확하게 읽는 전문가
물류관리자,Logistics Manager,📦,물류관리자_Logistics Manager.png,business,물건이 제때 도착하게 설계하는 관리자
품질관리 전문가,Quality Control Specialist,📣,품질관리 전문가_Quality Control Specialist.png,business,아이디어를 사람들과 함께 실현하는 기획가
호텔리어,Hotelier,🛎️,호텔리어_Hotelier.png,business,사람이 편안한 서비스를 경험하게 돕는 전문가
쇼호스트,Shopping Host,📣,쇼호스트_Shopping Host.png,business,아이디어를 사람들과 함께 실현하는 기획가
고객경험 매니저,Customer Experience Manager,🛎️,고객경험 매니저_Customer Experience Manager.png,business,사람이 편안한 서비스를 경험하게 돕는 전문가
비즈니스 개발자,Business Developer,📣,비즈니스 개발자_Business Developer.png,business,아이디어를 사람들과 함께 실현하는 기획가
브랜드 총괄,Brand Director,📢,브랜드 총괄_Brand Director.png,business,사람의 마음에 남는 메시지를 만드는 기획자
미래 산업 분석가,Future Industry Analyst,🧭,미래 산업 분석가_Future Industry Analyst.png,business,앞으로의 방향을 읽는 분석가
소프트웨어 개발자,Software Developer,💻,소프트웨어 개발자_Software Developer.png,digital,아이디어를 기술로 실제로 만드는 해결사
게임 개발자,Game Developer,🎮,게임 개발자_Game Developer.png,digital,놀이가 실제로 움직이게 만드는 개발자
AI 연구원,AI Researcher,🤖,AI 연구원_AI Researcher.png,digital,기계가 배우는 방법을 연구하는 전문가
데이터 과학자,Data Scientist,📊,데이터 과학자_Data Scientist.png,digital,자료 속 의미를 찾아내는 분석가
정보보안 전문가,Cybersecurity Specialist,🔐,정보보안 전문가_Cybersecurity Specialist.png,digital,디지털 세상의 안전을 지키는 전문가
정보보안 연구원,Cybersecurity Researcher,🔐,정보보안 연구원_Cybersecurity Researcher.png,digital,디지털 세상의 안전을 지키는 전문가
앱 서비스 기획자,App Service Planner,💻,앱 서비스 기획자_App Service Planner.png,digital,아이디어를 기술로 실제로 만드는 해결사
UX 디자이너,UX Designer,🧩,UX 디자이너_UX Designer.png,digital,사람이 쓰기 쉬운 화면을 만드는 설계자
UX 리서처,UX Researcher,🧩,UX 리서처_UX Researcher.png,digital,사람이 쓰기 쉬운 화면을 만드는 설계자
웹 디자이너,Web Designer,💻,웹 디자이너_Web Designer.png,digital,아이디어를 기술로 실제로 만드는 해결사
AR/VR 개발자,AR VR Developer,🥽,AR VR 개발자_AR VR Developer.png,digital,가상 세계를 현실처럼 느끼게 만드는 개발자
드론 엔지니어,Drone Engineer,🛸,드론 엔지니어_Drone Engineer.png,digital,하늘을 움직이는 기술을 다루는 전문가
반도체 설계자,Semiconductor Designer,🔋,반도체 설계자_Semiconductor Designer.png,digital,작은 칩 속 큰 기술을 설계하는 엔지니어
시스템 아키텍트,System Architect,☁️,시스템 아키텍트_System Architect.png,digital,서비스가 안정적으로 돌아가게 지키는 기술자
로봇 알고리즘 개발자,Robot Algorithm Developer,🤖,로봇 알고리즘 개발자_Robot Algorithm Developer.png,digital,기계가 똑똑하게 움직이게 만드는 전문가
클라우드 엔지니어,Cloud Engineer,☁️,클라우드 엔지니어_Cloud Engineer.png,digital,서비스가 안정적으로 돌아가게 지키는 기술자
디지털 포렌식 전문가,Digital Forensics Specialist,🔐,디지털 포렌식 전문가_Digital Forensics Specialist.png,digital,디지털 세상의 안전을 지키는 전문가
게임 시스템 디자이너,Game System Designer,🎲,게임 시스템 디자이너_Game System Designer.png,digital,재미의 규칙을 설계하는 기획자
게임 엔진 개발자,Game Engine Developer,💻,게임 엔진 개발자_Game Engine Developer.png,digital,아이디어를 기술로 실제로 만드는 해결사
데이터베이스 관리자,Database Administrator,📊,데이터베이스 관리자_Database Administrator.png,digital,자료 속 의미를 찾아내는 분석가
3D 프린팅 전문가,3D Printing Specialist,🧱,3D 프린팅 전문가_3D Printing Specialist.png,digital,상상을 입체 물건으로 바꾸는 제작자
초등교사,Elementary School Teacher,📚,초등교사_Elementary School Teacher.png,education,배움의 길을 열어 주는 선생님
특수교사,Special Education Teacher,📚,특수교사_Special Education Teacher.png,education,배움의 길을 열어 주는 선생님
상담교사,School Counselor,📚,상담교사_School Counselor.png,education,배움의 길을 열어 주는 선생님
진로상담가,Career Counselor,💬,진로상담가_Career Counselor.png,education,이야기를 듣고 방향을 함께 찾는 조력자
유치원교사,Kindergarten Teacher,📚,유치원교사_Kindergarten Teacher.png,education,배움의 길을 열어 주는 선생님
청소년 지도사,Youth Counselor,🧭,청소년 지도사_Youth Counselor.png,education,청소년의 가능성을 발견하게 돕는 지도자
코치,Coach,🤝,코치_Coach.png,education,사람의 성장을 곁에서 도와주는 안내자
리더십 강사,Leadership Instructor,🤝,리더십 강사_Leadership Instructor.png,education,사람의 성장을 곁에서 도와주는 안내자
HR 매니저,HR Manager,🤝,HR 매니저_HR Manager.png,education,사람의 성장을 곁에서 도와주는 안내자
